	RNA-POR-71-S1-TP2	RNA-POR-73-S1-TP2	RNA-POR-76-S1-TP2	RNA-POR-79-S1-TP2	RNA-POR-82-S1-TP2
Porites_evermani_scaffold_1687	1714.11	695.042	1983.12	450.447	2178.45
Porites_evermani_scaffold_1995	260.888	170.123	328.977	381.893	289.017
Porites_evermani_scaffold_425	1223.69	835.056	1416.61	747.936	1354.49
Porites_evermani_scaffold_973	406.394	138.438	253.756	225.954	812.616
Porites_evermani_scaffold_6787	0	0	12	0	0
Porites_evermani_scaffold_1176	2861.74	5038.9	2088.44	1643.72	2227.02
Porites_evermani_scaffold_1599	12.0457	17.3148	74.6896	9.7527	119.713
Porites_evermani_scaffold_5461	97.116	75.8603	406.402	277.509	98.3087
Porites_evermani_scaffold_4003	657.443	28	2031	661	2921.7
Porites_evermani_scaffold_2027	983.315	616.872	2353.81	826.235	1514.75
Porites_evermani_scaffold_226	14102.4	7032.77	12335.4	6256.74	15698.3
Porites_evermani_scaffold_1202	1326.77	256.275	1682.39	562.386	1418.36
Porites_evermani_scaffold_187	8350.29	3046.38	12365.1	6463.55	9509.87
Porites_evermani_scaffold_6656	1.00046	81.8434	17	32	4.00299
Porites_evermani_scaffold_4600	1123	223	1663	286	1064
Porites_evermani_scaffold_2714	763.836	55.148	1999.7	307.916	709.078
Porites_evermani_scaffold_4535	36.5033	13.4291	95.8168	60.4888	115.319
Porites_evermani_scaffold_1479	1083.02	472.606	1606.69	662.62	1533.23
Porites_evermani_scaffold_2594	2360.75	1413.31	1992.74	1429.76	3172.31
Porites_evermani_scaffold_1242	4842.59	2145.63	7721.04	3967.59	6003.16
Porites_evermani_scaffold_3111	2407.42	1046.27	1080.07	931.522	3802.87
Porites_evermani_scaffold_307	7607.34	7258.57	11226.4	4159.24	13110.4
Porites_evermani_scaffold_2581	114.528	64.0991	249.04	94.5025	103.344
Porites_evermani_scaffold_1724	15585.8	9764.31	11677	8321.15	24114.3
Porites_evermani_scaffold_6710	29	11	28	17	65.0877
Porites_evermani_scaffold_618	372.144	39.2521	354.013	16.4158	525.343
Porites_evermani_scaffold_815	1090.09	1772.77	1367.42	479.683	1502.16
Porites_evermani_scaffold_1392	141.563	60.7681	599.651	83.3203	145.703
Porites_evermani_scaffold_5121	80.3643	53.237	90.0255	53.97	99.5339
Porites_evermani_scaffold_2191	22.7875	31.1207	167.528	49.419	122.249
Porites_evermani_scaffold_2980	3271.77	292.902	387.288	445.855	724.685
Porites_evermani_scaffold_7173	42	12.4878	37	25	46
Porites_evermani_scaffold_1221	850.288	362.425	1609.18	397.014	901.211
Porites_evermani_scaffold_1201	187.476	746.925	632.968	163.041	268.783
Porites_evermani_scaffold_4181	64135.6	50882.2	72616.4	44843.1	79377.2
Porites_evermani_scaffold_303	1108.71	823.239	1051.01	629.422	1176.72
Porites_evermani_scaffold_2130	1215.57	14388.6	711.088	1851.53	1637.69
Porites_evermani_scaffold_4065	41.4966	15.289	15.3444	28.5279	32.8067
Porites_evermani_scaffold_4672	293.849	19.562	938.332	249.803	4.90636
Porites_evermani_scaffold_2885	4281.14	2458.34	1731.63	2029.87	10304.8
Porites_evermani_scaffold_736	14604.5	7866.28	7550.29	7899.33	23417.7
Porites_evermani_scaffold_2583	520.356	217.98	793.527	226.419	684.822
Porites_evermani_scaffold_7464	32.4837	69.9091	117.237	111.123	89.405
Porites_evermani_scaffold_864	18763.4	6888.9	8871.7	7007.69	27207.6
Porites_evermani_scaffold_953	1244.71	841.834	1557.74	663.428	1669.39
