	RNA-POC-47-S1-TP2_output	RNA-POC-48-S1-TP2_output	RNA-POC-50-S1-TP2_output	RNA-POC-53-S1-TP2_output	RNA-POC-57-S1-TP2_output
Pocillopora_meandrina_HIv1___xpSc0001344	282.101	32.8341	22.784	23.7485	30.7239
Pocillopora_meandrina_HIv1___xfSc0000001	840.469	362.276	1393.33	991.754	1678.83
Pocillopora_meandrina_HIv1___xfSc0000228	80.1494	205.923	115.688	237.776	290.161
Pocillopora_meandrina_HIv1___xfSc0000868	425.122	75.742	31.7245	42.6894	176.047
Pocillopora_meandrina_HIv1___xfSc0000765	5.01834	4.11394	5.09786	23.8793	0
Pocillopora_meandrina_HIv1___Sc0000039	266978	254607	285932	289156	207403
Pocillopora_meandrina_HIv1___xfSc0000021	101.614	22.126	297.651	75.033	143.965
Pocillopora_meandrina_HIv1___xfSc0000264	122.319	220.148	328.017	199.988	120.559
Pocillopora_meandrina_HIv1___Sc0000070	19.2614	33.5912	129.567	160.414	3.01267
Pocillopora_meandrina_HIv1___Sc0000029	534631	493815	621084	664184	426891
Pocillopora_meandrina_HIv1___Sc0000000	2.43402e+06	1.9888e+06	2.67461e+06	2.53384e+06	1.76467e+06
Pocillopora_meandrina_HIv1___xfSc0000836	56.1758	185.117	63.5778	679.756	40.244
Pocillopora_meandrina_HIv1___xfSc0001122	312.873	155.662	245.561	163.068	474.293
Pocillopora_meandrina_HIv1___Sc0000019	513620	518229	639531	629310	465358
Pocillopora_meandrina_HIv1___xfSc0000482	300.536	135.275	269.878	615.882	442.122
Pocillopora_meandrina_HIv1___xfSc0000175	0	0	42.1442	1.73935	0
Pocillopora_meandrina_HIv1___Sc0000047	135.773	127.257	202.713	818.03	68.0957
Pocillopora_meandrina_HIv1___xfSc0000074	57.7034	17.1248	59.2269	100.411	20.1777
Pocillopora_meandrina_HIv1___Sc0000034	127366	116665	158897	159282	114938
Pocillopora_meandrina_HIv1___xfSc0000029	4.00893	8.08267	7.03099	10.0679	0
Pocillopora_meandrina_HIv1___xfSc0000004	2695.27	1347.03	2414.33	1275.99	1636.72
Pocillopora_meandrina_HIv1___xfSc0000284	43.1149	27.6196	193.679	169.045	19.6239
